Student_ID,Age,Gender,Department,Semester,Attendance,Study_Hours_Per_Day,Sleep_Hours,Assignment_Score,Practical_Score,Internal_Marks,Previous_Sem_Percentage,Coding_Hours_Per_Week,Projects_Completed,Certifications,Internship,Backlogs,Stress_Level,Communication_Score,Aptitude_Score,Interview_Score,Final_Percentage,Placement_Status,Package_LPA
ST1068,19,Female,Electronics,4,82.9,3.6,6.7,65.7,86.1,72.2,94.1,15.5,5.0,1,No,0,Medium,64.5,63.6,24.1,66.5,Placed,4.92
ST1069,21,Male,Mechanical,3,92.8,2.1,7.8,78.3,73.9,77.0,67.4,11.1,3.0,3,Yes,0,Medium,,59.1,43.2,62.1,Not Placed,0.0
ST1070,21,Male,Computer Engineering,5,65.1,5.3,6.7,80.0,80.0,89.7,68.8,4.2,1.0,3,No,3,Medium,52.6,81.9,76.0,53.3,Not Placed,0.0
ST1071,18,Female,Electronics,5,86.2,4.5,6.9,89.3,68.2,70.1,39.0,3.3,4.0,2,Yes,0,Low,81.6,49.9,61.5,67.7,Placed,3.32
ST1072,22,Male,Civil,3,92.3,6.4,7.5,65.2,77.8,63.5,67.3,11.4,5.0,1,No,2,High,73.0,80.7,48.8,58.5,Not Placed,0.0
ST1073,22,Male,Computer Engineering,5,56.7,2.2,7.3,88.1,77.0,83.4,81.7,6.8,3.0,5,No,0,Low,87.3,69.9,67.9,56.2,Not Placed,0.0
ST1074,19,Female,Computer Engineering,6,81.8,2.9,4.8,68.4,88.6,73.0,55.1,0.0,0.0,1,No,2,Low,64.3,46.5,53.6,60.4,Not Placed,0.0
ST1075,22,Female,Civil,4,71.9,3.8,5.8,,88.6,74.4,59.5,16.9,6.0,4,Yes,0,Medium,76.3,65.7,56.7,58.5,Not Placed,0.0
ST1076,19,Male,Computer Engineering,4,77.0,4.5,8.0,83.7,82.4,61.2,81.1,5.8,3.0,0,No,0,Low,81.0,58.2,62.7,66.7,Placed,2.16
ST1077,18,Male,Mechanical,4,82.2,3.2,6.9,90.5,71.3,49.7,49.3,15.5,0.0,3,No,0,Medium,76.0,70.4,94.0,57.3,Not Placed,0.0
ST1078,21,Female,Information Technology,6,72.2,2.2,6.4,100.0,85.6,75.1,84.8,14.4,0.0,2,No,0,High,93.8,68.9,93.9,64.8,Not Placed,0.0
ST1079,21,Female,Computer Engineering,4,69.9,4.8,5.5,60.6,74.8,83.8,62.5,3.0,5.0,1,No,2,Medium,46.7,47.8,35.5,61.8,Not Placed,0.0
ST1080,21,Male,Mechanical,3,78.4,4.6,5.8,83.4,61.9,69.1,64.6,13.2,3.0,3,Yes,1,Medium,72.4,63.0,66.0,61.6,Not Placed,0.0
ST1081,22,Female,Information Technology,5,65.0,2.1,4.8,70.1,70.8,90.7,54.3,4.7,6.0,2,No,0,Medium,64.3,76.6,43.8,50.8,Not Placed,0.0
ST1082,18,Male,Information Technology,6,65.0,5.5,6.9,84.4,77.1,62.8,75.3,0.0,3.0,3,No,4,Low,63.3,79.2,50.0,46.9,Not Placed,0.0
ST1083,22,Male,Information Technology,4,86.2,5.3,6.3,57.4,87.8,58.3,98.0,5.9,0.0,2,No,0,Medium,90.9,62.6,37.3,67.4,Not Placed,0.0
ST1084,22,Male,Electronics,3,64.2,3.7,5.9,59.8,73.6,71.1,80.9,10.0,2.0,3,No,4,Medium,61.3,74.9,53.1,43.2,Not Placed,0.0
ST1085,18,Male,Computer Engineering,5,,3.6,6.9,65.7,60.3,70.9,57.9,5.7,4.0,5,No,0,High,81.9,72.0,47.9,64.5,Not Placed,0.0
ST1086,18,Male,Information Technology,5,83.6,4.3,7.4,75.9,76.7,82.0,85.9,6.5,1.0,4,No,3,Low,55.2,67.2,83.4,60.9,Not Placed,0.0
ST1087,18,Female,Civil,6,57.3,2.2,9.3,67.3,77.5,61.9,65.6,13.7,3.0,0,No,0,Medium,84.3,75.0,53.5,44.3,Not Placed,0.0
ST1088,18,Female,Computer Engineering,6,69.9,3.5,5.3,82.9,78.4,89.8,89.2,8.5,4.0,3,No,0,High,69.7,54.1,35.9,76.0,Not Placed,0.0
ST1089,21,Female,Electronics,6,92.3,0.5,8.3,87.3,88.0,97.6,81.3,3.8,4.0,0,Yes,0,Medium,66.0,68.0,67.0,66.2,Not Placed,0.0
ST1090,20,Female,Information Technology,3,66.2,4.8,8.1,82.2,89.2,71.5,30.0,11.5,2.0,3,No,0,High,48.5,43.9,64.2,59.1,Not Placed,0.0
ST1091,20,Male,Mechanical,3,72.4,1.2,6.1,94.4,68.3,88.2,55.9,9.0,4.0,1,No,1,Medium,66.1,67.2,62.8,59.0,Not Placed,0.0
ST1092,18,Male,Computer Engineering,6,83.5,5.8,7.2,80.0,68.0,58.3,83.2,0.0,,4,Yes,0,Medium,60.4,89.4,76.8,65.5,Not Placed,0.0
ST1093,20,Male,Civil,4,87.4,3.0,6.5,60.4,62.5,86.0,72.1,10.1,5.0,5,Yes,5,High,94.5,63.2,86.7,55.2,Not Placed,0.0
ST1094,20,Male,Information Technology,5,75.0,3.2,7.2,91.4,85.1,85.6,55.7,10.0,5.0,4,No,4,Low,70.7,87.9,62.5,50.6,Not Placed,0.0
ST1095,18,Female,Computer Engineering,5,70.8,2.6,8.7,67.7,94.8,83.2,61.1,8.1,4.0,0,No,4,Low,61.6,63.4,71.3,57.6,Not Placed,0.0
ST1096,20,Male,Computer Engineering,3,95.1,3.1,7.7,85.9,71.9,71.8,43.3,12.5,3.0,1,Yes,4,Medium,61.1,51.7,63.0,56.8,Not Placed,0.0
ST1097,22,Male,Computer Engineering,5,98.9,5.6,7.6,93.9,72.9,33.6,68.8,4.6,3.0,2,No,2,Medium,51.0,78.0,75.1,57.8,Not Placed,0.0
ST1098,19,Female,Information Technology,4,89.7,0.5,6.5,80.5,95.1,63.7,98.0,9.7,0.0,4,No,5,High,91.3,75.0,43.5,51.6,Not Placed,0.0
ST1099,19,Female,Information Technology,5,79.0,5.4,5.4,57.0,82.6,63.9,81.3,0.2,2.0,5,No,3,High,87.6,100.0,76.9,62.2,Not Placed,0.0
ST1100,18,Female,Mechanical,3,68.3,4.0,6.8,64.0,81.7,59.3,98.0,10.0,6.0,1,Yes,0,High,69.1,53.3,71.5,65.6,Placed,4.32
ST1101,21,Female,Information Technology,3,68.0,1.7,8.3,90.9,60.5,73.6,82.4,17.8,1.0,1,No,2,Low,100.0,73.3,51.6,53.1,Not Placed,0.0
ST1102,18,Male,Computer Engineering,4,84.3,1.9,5.3,73.0,84.8,66.6,84.4,3.0,6.0,0,No,3,Medium,69.8,73.9,100.0,59.1,Not Placed,0.0
ST1103,21,Male,Electronics,4,83.0,6.0,5.8,76.0,63.9,61.3,97.6,4.2,0.0,5,Yes,1,Medium,85.4,83.9,45.2,66.7,Not Placed,0.0
ST1104,19,Female,Electronics,5,94.8,2.1,7.1,84.1,61.3,58.2,75.3,4.4,1.0,1,Yes,0,High,77.9,75.9,72.3,57.2,Placed,3.12
ST1105,18,Male,Computer Engineering,5,85.8,1.8,5.9,83.4,71.5,62.7,67.4,8.6,6.0,1,No,0,Medium,62.0,63.7,51.7,61.9,Placed,2.0
ST1106,22,Male,Computer Engineering,3,60.0,5.2,6.1,78.3,68.4,86.6,84.5,2.7,3.0,2,No,2,Low,72.6,51.9,76.2,63.0,Not Placed,0.0
ST1107,20,Male,Computer Engineering,4,90.6,4.0,6.5,72.5,73.1,63.4,90.4,10.1,5.0,0,Yes,4,High,75.2,73.2,99.0,57.7,Not Placed,0.0
ST1108,21,Female,Mechanical,4,66.0,2.1,5.5,71.2,57.3,65.3,63.3,12.2,0.0,0,No,0,Medium,51.7,73.6,79.4,47.4,Not Placed,0.0
ST1109,20,Male,Electronics,4,73.4,3.8,5.9,85.3,88.5,66.1,59.9,10.7,6.0,5,No,0,Medium,74.0,77.5,65.1,65.8,Placed,5.6
ST1110,20,Female,Information Technology,5,81.0,2.0,7.8,81.6,90.7,76.4,71.9,0.0,4.0,1,No,0,Medium,86.0,63.7,81.9,61.8,Not Placed,0.0
ST1111,18,Male,Mechanical,4,100.0,5.2,5.6,71.9,50.7,77.9,81.6,13.0,4.0,2,No,1,Medium,60.3,72.2,57.6,69.2,Not Placed,0.0
ST1112,20,Male,Mechanical,3,100.0,5.1,5.2,88.0,88.7,32.4,81.2,12.7,1.0,3,No,0,Medium,67.1,44.8,74.8,75.1,Not Placed,0.0
ST1113,22,Male,Electronics,3,85.3,4.3,6.3,73.5,65.5,85.3,50.1,12.2,3.0,4,No,1,Medium,54.5,52.6,68.4,64.4,Not Placed,0.0
ST1114,20,Female,Mechanical,5,75.8,4.0,7.8,64.8,87.1,90.7,96.8,9.9,5.0,0,Yes,4,Medium,63.2,82.0,47.5,55.1,Not Placed,0.0
ST1115,18,Male,Computer Engineering,6,84.4,6.1,6.8,65.9,75.1,58.3,61.0,9.1,1.0,2,Yes,1,Low,64.3,70.7,94.3,62.2,Not Placed,0.0
ST1116,22,Female,Computer Engineering,5,88.7,3.5,6.5,63.3,76.4,59.4,66.3,13.2,6.0,5,No,0,Medium,92.1,75.1,86.9,49.8,Placed,3.1
ST1117,19,Female,Computer Engineering,6,74.2,1.7,7.0,71.7,73.6,66.1,57.4,17.6,6.0,2,Yes,3,Medium,65.6,59.0,53.3,49.2,Placed,3.7
ST1118,20,Female,Computer Engineering,4,99.5,4.2,5.1,89.8,91.8,62.2,98.0,3.2,5.0,1,No,1,Medium,62.6,57.1,83.4,76.4,Not Placed,0.0
ST1119,18,Male,Information Technology,5,80.8,6.6,7.5,65.3,59.9,74.9,73.4,13.4,6.0,4,Yes,0,Medium,68.7,61.6,48.2,69.4,Placed,4.17
ST1120,19,Male,Civil,3,84.0,2.0,7.4,77.3,83.9,46.7,58.1,7.6,2.0,0,Yes,0,Medium,46.1,71.6,74.4,57.4,Not Placed,0.0
ST1121,19,Male,Computer Engineering,4,86.0,3.0,6.5,67.1,90.3,57.5,82.1,7.4,5.0,3,No,1,Medium,37.0,78.3,67.8,72.3,Not Placed,0.0
ST1122,21,Male,Computer Engineering,3,83.1,4.1,8.1,71.9,85.3,92.0,80.8,0.3,4.0,1,No,2,Medium,50.7,64.3,93.9,55.7,Not Placed,0.0
ST1123,22,Female,Information Technology,4,88.1,3.4,5.8,56.9,100.0,59.9,67.4,6.6,6.0,0,No,3,Medium,74.5,43.1,72.3,49.9,Not Placed,0.0
ST1124,20,Female,Civil,5,70.6,2.0,8.2,72.4,69.1,88.2,81.8,3.0,,5,Yes,0,Medium,70.0,74.0,42.3,63.6,Placed,4.15
ST1125,18,Female,Information Technology,6,71.3,5.2,7.2,72.7,88.4,76.6,58.4,5.7,0.0,0,Yes,0,Medium,82.2,72.0,83.3,67.5,Not Placed,0.0
ST1126,21,Male,Information Technology,4,64.8,7.0,6.6,81.5,74.6,48.5,63.1,2.5,0.0,2,No,0,Medium,48.7,75.2,60.0,65.0,Not Placed,0.0
ST1127,22,Female,Computer Engineering,6,83.3,3.8,7.0,77.7,92.0,80.3,41.9,5.8,0.0,4,Yes,1,Low,67.1,80.8,59.2,57.7,Not Placed,0.0
ST1128,21,Male,Computer Engineering,4,87.3,2.1,6.9,60.6,75.9,70.5,51.5,6.0,5.0,3,No,2,High,47.7,79.7,67.5,49.5,Placed,3.69
ST1129,22,Female,Civil,3,83.5,1.2,8.3,88.0,71.0,66.1,95.3,8.5,4.0,4,Yes,0,High,73.7,88.4,57.8,57.3,Placed,4.09
ST1130,22,Male,Civil,3,98.1,3.9,5.8,77.5,93.0,75.2,93.0,0.0,5.0,2,Yes,0,Medium,50.7,68.4,95.7,74.9,Placed,5.33
ST1131,20,Male,Computer Engineering,4,77.9,5.2,6.2,77.4,69.6,78.2,70.9,0.8,3.0,3,No,4,Medium,66.6,61.5,79.9,50.2,Not Placed,0.0
ST1132,22,Female,Civil,6,86.0,4.2,8.1,74.9,57.6,81.2,93.3,9.8,4.0,3,No,3,High,72.9,83.6,48.7,64.8,Not Placed,0.0
ST1133,21,Female,Electronics,5,64.9,3.5,6.3,68.8,69.3,87.3,67.8,4.0,4.0,1,No,0,Low,64.5,81.6,55.4,59.6,Not Placed,0.0
ST1134,22,Female,Mechanical,5,73.4,2.6,8.0,77.6,84.0,77.3,66.6,13.4,5.0,3,No,2,Medium,38.3,64.5,46.0,54.0,Placed,2.0
ST1135,20,Female,Information Technology,3,86.3,1.9,8.9,80.7,94.1,54.1,70.8,9.1,5.0,0,No,1,Low,93.3,84.6,82.5,56.9,Not Placed,0.0
ST1136,20,Male,Information Technology,5,88.2,4.8,6.6,54.0,77.4,65.8,68.3,11.0,0.0,4,No,0,Medium,63.0,69.1,65.9,54.3,Not Placed,0.0
ST1137,21,Female,Information Technology,3,74.5,4.9,7.7,68.5,93.1,100.0,67.0,15.1,4.0,5,No,0,High,47.5,87.1,51.4,65.9,Not Placed,0.0
ST1138,19,Female,Electronics,5,77.1,1.2,5.7,71.9,58.3,81.4,86.0,6.5,0.0,5,Yes,0,Medium,80.7,93.9,92.1,53.5,Placed,2.0
ST1139,19,Female,Computer Engineering,4,59.8,5.9,7.8,78.1,70.2,100.0,72.1,5.1,3.0,4,Yes,0,Medium,81.2,100.0,75.1,68.0,Placed,4.09
ST1140,22,Male,Computer Engineering,3,73.7,4.4,7.2,89.3,72.2,90.1,80.0,12.4,2.0,1,No,1,High,65.8,68.9,70.0,64.2,Not Placed,0.0
ST1141,18,Male,Information Technology,3,88.7,5.6,7.5,65.7,74.5,75.1,84.4,10.5,0.0,3,Yes,0,Medium,91.5,89.2,69.2,63.1,Not Placed,0.0
ST1142,22,Female,Electronics,4,84.9,1.5,6.3,69.0,77.1,75.9,75.4,7.1,5.0,2,Yes,0,Medium,59.6,80.8,45.3,55.3,Not Placed,0.0
ST1143,21,Male,Computer Engineering,3,84.0,1.5,5.2,68.8,85.0,71.5,56.4,15.0,6.0,0,No,0,Medium,,82.2,75.9,59.6,Placed,2.91
ST1144,21,Female,Electronics,5,78.6,3.3,7.6,65.4,70.2,49.4,51.1,6.9,1.0,1,No,0,Medium,77.2,74.4,60.3,43.5,Not Placed,0.0
ST1145,21,Male,Civil,5,78.1,4.3,4.7,70.8,77.8,72.2,72.1,8.2,2.0,3,No,1,High,91.2,82.3,80.9,58.9,Not Placed,0.0
ST1146,21,Male,Computer Engineering,3,70.1,6.2,6.7,84.2,75.4,87.7,67.6,8.1,3.0,5,Yes,0,High,42.8,47.4,77.2,73.8,Not Placed,0.0
ST1147,21,Male,Electronics,5,86.4,4.6,8.0,62.4,64.0,64.2,71.2,3.3,6.0,2,No,0,Medium,100.0,67.6,66.0,62.0,Placed,3.73
ST1148,20,Male,Information Technology,6,83.1,3.1,7.2,80.1,74.5,77.4,69.8,8.4,5.0,3,No,4,Medium,86.4,58.2,64.9,55.4,Not Placed,0.0
ST1149,19,Female,Mechanical,3,83.9,2.0,9.1,54.6,74.1,83.1,98.0,15.0,2.0,1,No,0,Low,76.3,56.9,93.5,62.4,Not Placed,0.0
ST1150,21,Female,Computer Engineering,4,71.7,5.3,8.1,68.3,73.9,60.2,51.4,10.2,5.0,2,Yes,1,High,58.8,46.5,45.6,51.0,Not Placed,0.0
ST1151,18,Female,Electronics,6,52.2,2.1,6.3,71.0,76.4,66.1,42.1,8.2,0.0,2,Yes,0,Medium,57.6,60.1,57.8,57.1,Not Placed,0.0
ST1152,18,Male,Mechanical,3,91.2,5.9,7.0,95.1,77.0,58.8,74.7,7.2,6.0,2,Yes,3,Medium,74.0,65.4,85.2,62.4,Placed,3.05
